RecID	AccessionNo	Department	Title	Edition	Author	Publisher	Status	 
7140	14005	Arts	PRINCIPLES OF ECONOMIC GEOGRAPHY		"KAUSHIK,S,D."	Rastogi Publications	AV	
7140	14004	Arts	PRINCIPLES OF ECONOMIC GEOGRAPHY		"KAUSHIK,S,D."	Rastogi Publications	AV	
7243	14003		GIS BASICS		"FAZAL,SHAHAB."	New Age International	AV	
7213	14002		INTRODUCTION TO GEOGRAPHICAL INFORMATION SYSTEM		"NAG,PRITHVISH."	Concept Publishing	AV	
7207	14001		CLIMATOLOGY AND OCEANOGRAPHY		"GAUTAM,ALKA."	Rastogi Publications	AV	
7159	14000		PRINCIPLES OF14 AND GEOGRAPHICAL INFORMATION SYSTEM		"CHONIYAL,DEVI DUTT."	Sharda Pustak Bhawan	IS	
8908	13995		UGC/NET/SET(JRFAND LS) COMPUTER SCIENCEAND APPLICATION	LATEST.	"SHARMA,SURABTI."	Arihant Publications	AV	
8908	13994		UGC/NET/SET(JRFAND LS) COMPUTER SCIENCEAND APPLICATION	LATEST.	"SHARMA,SURABTI."	Arihant Publications	AV	
8908	13993		UGC/NET/SET(JRFAND LS) COMPUTER SCIENCEAND APPLICATION	LATEST.	"SHARMA,SURABTI."	Arihant Publications	AV	
8161	13992						AV	
8375	13991	Science	India Economy (Hindi) 		"Trehan,"	"Global Publication, ,"	AV	
8908	13990		UGC/NET/SET(JRFAND LS) COMPUTER SCIENCEAND APPLICATION	LATEST.	"SHARMA,SURABTI."	Arihant Publications	AV	
8912	13989		PROGRAMMINGWITH JAVA/	5TH.	"BALAGURUSAMY,E."	McGraw Hill	AV	
8912	13988		PROGRAMMINGWITH JAVA/	5TH.	"BALAGURUSAMY,E."	McGraw Hill	AV	
8912	13987		PROGRAMMINGWITH JAVA/	5TH.	"BALAGURUSAMY,E."	McGraw Hill	AV	
8948	13986		DATA COMMUNICATIONS AND NETWOKING	5TH.	FOROUZAN.BEHROUZ A.	MC GRAW.	AV	
9318	13985	Computer	DATA COMMUNICATIONS AND NETWORKING/	5TH.	"FOROUZAN,BEHROUZ A."	McGraw Hill	AV	
8911	13984		OPERATION RESEARCH	18TH.	"SHARMA,S.D."	Kedar Nath Ram Nath	AV	
8911	13983		OPERATION RESEARCH	18TH.	"SHARMA,S.D."	Kedar Nath Ram Nath	AV	
8910	13982		OPERATION RESEARCH	18TH.	SHARMA S.D.	Kedar Nath Ram Nath	AV	
8909	13981		OPERATION RESEARCH	18TH.	SHARMA.S.D.	KEDAR NATH RAM NATH	AV	
8915	13980		COMPILERS	5TH.	"AHO,ALFRED V. OTHERS."	Pearson Education	AV	
8914	13979		COMPILERS	5TH.	"AHO,ALFRED V. OTHERS."	Pearson Education	AV	
8861	13978	Science	COMPUTERIZED ACCOUNTING SYSTEM/		"GOEL,SUSHIL."	Natraj Publishing	AV	
8889	13977	Science	COMPUTERIZED ACCOUNTING SYSTEM/		"GOEL, SUSIL."	Natraj Publishing	AV	
8861	13976	Science	COMPUTERIZED ACCOUNTING SYSTEM/		"GOEL,SUSHIL."	Natraj Publishing	AV	
9372	13975	Commerce	COMPUTERIZED ACCOUNTING SYSTEM/		"GOEL,SUSHIL."	Natraj Publishing	AV	
8889	13974	Science	COMPUTERIZED ACCOUNTING SYSTEM/		"GOEL, SUSIL."	Natraj Publishing	AV	
8866	13973		COMPUTER ACCOUNTING SYSTEM USING TALLY .ERP 9/		"GOEL ,SUSHIL."	Natraj Publishing	AV	
8866	13972		COMPUTER ACCOUNTING SYSTEM USING TALLY .ERP 9/		"GOEL ,SUSHIL."	Natraj Publishing	AV	
8866	13971		COMPUTER ACCOUNTING SYSTEM USING TALLY .ERP 9/		"GOEL ,SUSHIL."	Natraj Publishing	AV	
8866	13970		COMPUTER ACCOUNTING SYSTEM USING TALLY .ERP 9/		"GOEL ,SUSHIL."	Natraj Publishing	AV	
8866	13969		COMPUTER ACCOUNTING SYSTEM USING TALLY .ERP 9/		"GOEL ,SUSHIL."	Natraj Publishing	AV	
8390	13968	Science	Computerised Accounting System		"Goyal,"	Kalyani Publishers	AV	
8390	13967	Science	Computerised Accounting System		"Goyal,"	Kalyani Publishers	AV	
8390	13966	Science	Computerised Accounting System		"Goyal,"	Kalyani Publishers	AV	
8390	13965	Science	Computerised Accounting System		"Goyal,"	Kalyani Publishers	AV	
8390	13964	Science	Computerised Accounting System		"Goyal,"	Kalyani Publishers	AV	
8390	13963	Science	Computerised Accounting System		"Goyal,"	Kalyani Publishers	AV	
8390	13962	Science	Computerised Accounting System		"Goyal,"	Kalyani Publishers	AV	
8390	13961	Science	Computerised Accounting System		"Goyal,"	Kalyani Publishers	AV	
8390	13960	Science	Computerised Accounting System		"Goyal,"	Kalyani Publishers	AV	
8390	13959	Science	Computerised Accounting System		"Goyal,"	Kalyani Publishers	AV	
8391	13958	Science	Computerised Accounting System		"Goyal,"	Kalyani Publishers	AV	
8391	13957	Science	Computerised Accounting System		"Goyal,"	Kalyani Publishers	AV	
8391	13956	Science	Computerised Accounting System		"Goyal,"	Kalyani Publishers	AV	
8391	13955	Science	Computerised Accounting System		"Goyal,"	Kalyani Publishers	AV	
8391	13954	Science	Computerised Accounting System		"Goyal,"	Kalyani Publishers	AV	
8363	13953	Science	Business Statistics Semester-(IV)	1st  / 	"Jain,"	V. K. Global Publications	AV	
8363	13952	Science	Business Statistics Semester-(IV)	1st  / 	"Jain,"	V. K. Global Publications	AV	
8363	13951	Science	Business Statistics Semester-(IV)	1st  / 	"Jain,"	V. K. Global Publications	AV	
8363	13950	Science	Business Statistics Semester-(IV)	1st  / 	"Jain,"	V. K. Global Publications	AV	
8363	13949	Science	Business Statistics Semester-(IV)	1st  / 	"Jain,"	V. K. Global Publications	AV	
8366	13948	Science	Business Statistics Semester-167(IV) Hindi/		"Jain,."	V. K. Global Publications	AV	
8366	13947	Science	Business Statistics Semester-167(IV) Hindi/		"Jain,."	V. K. Global Publications	AV	
8366	13946	Science	Business Statistics Semester-167(IV) Hindi/		"Jain,."	V. K. Global Publications	AV	
8366	13945	Science	Business Statistics Semester-167(IV) Hindi/		"Jain,."	V. K. Global Publications	AV	
8366	13944	Science	Business Statistics Semester-167(IV) Hindi/		"Jain,."	V. K. Global Publications	AV	
8360	13943	Arts	Girish Karnad Hayavadana	Eleventh / 	"Bisaria,"	Rama Brothers	AV	
8360	13942	Arts	Girish Karnad Hayavadana	Eleventh / 	"Bisaria,"	Rama Brothers	AV	
8360	13941	Arts	Girish Karnad Hayavadana	Eleventh / 	"Bisaria,"	Rama Brothers	AV	
8360	13940	Arts	Girish Karnad Hayavadana	Eleventh / 	"Bisaria,"	Rama Brothers	AV	
8360	13939	Arts	Girish Karnad Hayavadana	Eleventh / 	"Bisaria,"	Rama Brothers	AV	
8360	13938	Arts	Girish Karnad Hayavadana	Eleventh / 	"Bisaria,"	Rama Brothers	AV	
8360	13937	Arts	Girish Karnad Hayavadana	Eleventh / 	"Bisaria,"	Rama Brothers	AV	
8360	13936	Arts	Girish Karnad Hayavadana	Eleventh / 	"Bisaria,"	Rama Brothers	AV	
8360	13935	Arts	Girish Karnad Hayavadana	Eleventh / 	"Bisaria,"	Rama Brothers	AV	
8360	13934	Arts	Girish Karnad Hayavadana	Eleventh / 	"Bisaria,"	Rama Brothers	AV	
8359	13933	Arts	The Financial Expart	Ninth / 	"Lall,"	Rama Brothers	AV	
8359	13932	Arts	The Financial Expart	Ninth / 	"Lall,"	Rama Brothers	AV	
8359	13931	Arts	The Financial Expart	Ninth / 	"Lall,"	Rama Brothers	AV	
8359	13930	Arts	The Financial Expart	Ninth / 	"Lall,"	Rama Brothers	AV	
8359	13929	Arts	The Financial Expart	Ninth / 	"Lall,"	Rama Brothers	AV	
8359	13928	Arts	The Financial Expart	Ninth / 	"Lall,"	Rama Brothers	AV	
8359	13927	Arts	The Financial Expart	Ninth / 	"Lall,"	Rama Brothers	AV	
8359	13926	Arts	The Financial Expart	Ninth / 	"Lall,"	Rama Brothers	AV	
8359	13925	Arts	The Financial Expart	Ninth / 	"Lall,"	Rama Brothers	AV	
8359	13924	Arts	The Financial Expart	Ninth / 	"Lall,"	Rama Brothers	AV	
8358	13923	Arts	Things Fall Apart	Sixteenth /	"Thakkar,"	Rama Brothers	AV	
8358	13922	Arts	Things Fall Apart	Sixteenth /	"Thakkar,"	Rama Brothers	AV	
8358	13921	Arts	Things Fall Apart	Sixteenth /	"Thakkar,"	Rama Brothers	AV	
8358	13920	Arts	Things Fall Apart	Sixteenth /	"Thakkar,"	Rama Brothers	AV	
8358	13919	Arts	Things Fall Apart	Sixteenth /	"Thakkar,"	Rama Brothers	AV	
8358	13918	Arts	Things Fall Apart	Sixteenth /	"Thakkar,"	Rama Brothers	AV	
8358	13917	Arts	Things Fall Apart	Sixteenth /	"Thakkar,"	Rama Brothers	AV	
8358	13916	Arts	Things Fall Apart	Sixteenth /	"Thakkar,"	Rama Brothers	AV	
8358	13915	Arts	Things Fall Apart	Sixteenth /	"Thakkar,"	Rama Brothers	AV	
8358	13914	Arts	Things Fall Apart	Sixteenth /	"Thakkar,"	Rama Brothers	AV	
8389	13913	Science	Business Statistics (Hindi)		"Jain,"	V. K. Global Publications	AV	
8389	13912	Science	Business Statistics (Hindi)		"Jain,"	V. K. Global Publications	AV	
8389	13911	Science	Business Statistics (Hindi)		"Jain,"	V. K. Global Publications	AV	
8389	13910	Science	Business Statistics (Hindi)		"Jain,"	V. K. Global Publications	AV	
8389	13909	Science	Business Statistics (Hindi)		"Jain,"	V. K. Global Publications	AV	
8389	13908	Science	Business Statistics (Hindi)		"Jain,"	V. K. Global Publications	AV	
8389	13907	Science	Business Statistics (Hindi)		"Jain,"	V. K. Global Publications	AV	
8389	13906	Science	Business Statistics (Hindi)		"Jain,"	V. K. Global Publications	AV	
8389	13905	Science	Business Statistics (Hindi)		"Jain,"	V. K. Global Publications	AV	
8389	13904	Science	Business Statistics (Hindi)		"Jain,"	V. K. Global Publications	AV	
8362	13903	Science	Business Statistics Semester-(IV)	1st / 	"Jain,"	V. K. Global Publications	AV	
8362	13902	Science	Business Statistics Semester-(IV)	1st / 	"Jain,"	V. K. Global Publications	AV	
8362	13901	Science	Business Statistics Semester-(IV)	1st / 	"Jain,"	V. K. Global Publications	AV	
8362	13900	Science	Business Statistics Semester-(IV)	1st / 	"Jain,"	V. K. Global Publications	AV	
8362	13899	Science	Business Statistics Semester-(IV)	1st / 	"Jain,"	V. K. Global Publications	AV	
8362	13898	Science	Business Statistics Semester-(IV)	1st / 	"Jain,"	V. K. Global Publications	AV	
8362	13897	Science	Business Statistics Semester-(IV)	1st / 	"Jain,"	V. K. Global Publications	AV	
8362	13896	Science	Business Statistics Semester-(IV)	1st / 	"Jain,"	V. K. Global Publications	AV	
8362	13895	Science	Business Statistics Semester-(IV)	1st / 	"Jain,"	V. K. Global Publications	AV	
8362	13894	Science	Business Statistics Semester-(IV)	1st / 	"Jain,"	V. K. Global Publications	IS	
8374	13893	Science	Indian Economy		"Trehan,"	"Global Publication,"	AV	
8374	13892	Science	Indian Economy		"Trehan,"	"Global Publication,"	AV	
8905	13891	Science	Indian Economy Sem VI		"Trehan,Mukesh And Trehan Ranju."	Global Publication.	AV	
8375	13890	Science	India Economy (Hindi) 		"Trehan,"	"Global Publication, ,"	AV	
8375	13889	Science	India Economy (Hindi) 		"Trehan,"	"Global Publication, ,"	AV	
8375	13888	Science	India Economy (Hindi) 		"Trehan,"	"Global Publication, ,"	AV	
8375	13887	Science	India Economy (Hindi) 		"Trehan,"	"Global Publication, ,"	AV	
8375	13886	Science	India Economy (Hindi) 		"Trehan,"	"Global Publication, ,"	AV	
8375	13885	Science	India Economy (Hindi) 		"Trehan,"	"Global Publication, ,"	AV	
8375	13884	Science	India Economy (Hindi) 		"Trehan,"	"Global Publication, ,"	AV	
8375	13883	Science	India Economy (Hindi) 		"Trehan,"	"Global Publication, ,"	AV	
8375	13882	Science	India Economy (Hindi) 		"Trehan,"	"Global Publication, ,"	AV	
8377	13881	Science	Macroeconomics	1st / 	"Jain,"	V. K. Global Publications	AV	
8376	13880	Science	Macronomice	1st / 	"jain .,"	V. K. Global Publications	AV	
8387	13879	Science	Macroeconomics (Hindi)	1st / 	"jain.,"	V. K. Global Publications	AV	
8386	13878	Science	Macroeconomics (Hindi)	1st / 	"Jain,"	V. K. Global Publications	AV	
8385	13877	Science	Macroeconomics (Hindi)	1st / 	"Jain,"	V. K. Global Publications	AV	
8384	13876	Science	Macroeconomics (Hindi)	1st  / 	"Jain,"	V. K. Global Publications	AV	
8383	13875	Science	Macroeconomics	1st / 	"Jain,"	V. K. Global Publications	AV	
8382	13874	Science	Macroeconomics	1st / 	"Jain,"	V. K. Global Publications	AV	
8381	13873	Science	Macroeconomics	1st /	"Jain.,"	V. K. Global Publications	AV	
8380	13872	Science	Macroeconomics (Hindi)	1st / 	"Jain,"	V. K. Global Publications	AV	
8379	13871	Science	Macroeconomics (Hindi)	1st. / 	"Jain,"	V. K. Global Publications	AV	
8378	13870	Science	Macroenomics (Hindi)	1st / 	"Jain.,"	V. K. Global Publications	AV	
8372	13869	Science	Microeconomics	1st.	"Jain,"	"Global Publication,"	AV	
8372	13868	Science	Microeconomics	1st.	"Jain,"	"Global Publication,"	AV	
8373	13867	Science	Microeconomics ( Hindi)		"Jain,"	"Global Publication,"	AV	
8373	13866	Science	Microeconomics ( Hindi)		"Jain,"	"Global Publication,"	AV	
8373	13865	Science	Microeconomics ( Hindi)		"Jain,"	"Global Publication,"	AV	
8373	13864	Science	Microeconomics ( Hindi)		"Jain,"	"Global Publication,"	AV	
8373	13863	Science	Microeconomics ( Hindi)		"Jain,"	"Global Publication,"	AV	
8373	13862	Science	Microeconomics ( Hindi)		"Jain,"	"Global Publication,"	AV	
8373	13861	Science	Microeconomics ( Hindi)		"Jain,"	"Global Publication,"	AV	
8373	13860	Science	Microeconomics ( Hindi)		"Jain,"	"Global Publication,"	AV	
8373	13859	Science	Microeconomics ( Hindi)		"Jain,"	"Global Publication,"	AV	
8373	13858	Science	Microeconomics ( Hindi)		"Jain,"	"Global Publication,"	AV	
8320	13857	Arts	Interpreting A Play: The Merchant of Venice Developing Composition Skills		"Dharmani,"	Macmillan Publishers	AV	
8320	13856	Arts	Interpreting A Play: The Merchant of Venice Developing Composition Skills		"Dharmani,"	Macmillan Publishers	AV	
8320	13855	Arts	Interpreting A Play: The Merchant of Venice Developing Composition Skills		"Dharmani,"	Macmillan Publishers	AV	
8320	13854	Arts	Interpreting A Play: The Merchant of Venice Developing Composition Skills		"Dharmani,"	Macmillan Publishers	AV	
8320	13853	Arts	Interpreting A Play: The Merchant of Venice Developing Composition Skills		"Dharmani,"	Macmillan Publishers	AV	
8320	13852	Arts	Interpreting A Play: The Merchant of Venice Developing Composition Skills		"Dharmani,"	Macmillan Publishers	AV	
8320	13851	Arts	Interpreting A Play: The Merchant of Venice Developing Composition Skills		"Dharmani,"	Macmillan Publishers	AV	
8320	13850	Arts	Interpreting A Play: The Merchant of Venice Developing Composition Skills		"Dharmani,"	Macmillan Publishers	AV	
8320	13849	Arts	Interpreting A Play: The Merchant of Venice Developing Composition Skills		"Dharmani,"	Macmillan Publishers	AV	
8320	13848	Arts	Interpreting A Play: The Merchant of Venice Developing Composition Skills		"Dharmani,"	Macmillan Publishers	AV	
8320	13847	Arts	Interpreting A Play: The Merchant of Venice Developing Composition Skills		"Dharmani,"	Macmillan Publishers	AV	
8320	13846	Arts	Interpreting A Play: The Merchant of Venice Developing Composition Skills		"Dharmani,"	Macmillan Publishers	AV	
8320	13845	Arts	Interpreting A Play: The Merchant of Venice Developing Composition Skills		"Dharmani,"	Macmillan Publishers	AV	
8320	13844	Arts	Interpreting A Play: The Merchant of Venice Developing Composition Skills		"Dharmani,"	Macmillan Publishers	AV	
8320	13843	Arts	Interpreting A Play: The Merchant of Venice Developing Composition Skills		"Dharmani,"	Macmillan Publishers	AV	
8320	13842	Arts	Interpreting A Play: The Merchant of Venice Developing Composition Skills		"Dharmani,"	Macmillan Publishers	AV	
8320	13841	Arts	Interpreting A Play: The Merchant of Venice Developing Composition Skills		"Dharmani,"	Macmillan Publishers	AV	
8320	13840	Arts	Interpreting A Play: The Merchant of Venice Developing Composition Skills		"Dharmani,"	Macmillan Publishers	AV	
8320	13839	Arts	Interpreting A Play: The Merchant of Venice Developing Composition Skills		"Dharmani,"	Macmillan Publishers	AV	
8320	13838	Arts	Interpreting A Play: The Merchant of Venice Developing Composition Skills		"Dharmani,"	Macmillan Publishers	AV	
8319	13837	Arts	Centre Stage		"Siroha,"	Orient Longman	AV	
8319	13836	Arts	Centre Stage		"Siroha,"	Orient Longman	AV	
8319	13833	Arts	Centre Stage		"Siroha,"	Orient Longman	AV	
8319	13832	Arts	Centre Stage		"Siroha,"	Orient Longman	AV	
8319	13831	Arts	Centre Stage		"Siroha,"	Orient Longman	AV	
8319	13830	Arts	Centre Stage		"Siroha,"	Orient Longman	IS	
8319	13829	Arts	Centre Stage		"Siroha,"	Orient Longman	AV	
8319	13828	Arts	Centre Stage		"Siroha,"	Orient Longman	AV	
8319	13827	Arts	Centre Stage		"Siroha,"	Orient Longman	AV	
8319	13826	Arts	Centre Stage		"Siroha,"	Orient Longman	AV	
